CustomerKey,PaymentStatus,InvoiceCount,TotalAmount,AvgAmount
0,Paid,40,107939.01205635924,2061.4058693380757
0,Pending,1,2882.2565086871455,2531.008361496707
0,Overdue,2,5685.501910082112,3042.586018222694
0,Unknown,4,12711.786962166236,3462.1524441520705
1,Paid,31,85850.9657345541,2763.6581534956013
1,Pending,1,2512.042467489592,2001.1020293944457
1,Overdue,1,2872.6041395601137,3445.604435053242
1,Unknown,3,4456.18492088359,1732.4405510222498
2,Paid,32,87534.41548779784,2306.915075344095
2,Pending,3,9250.95958368717,1791.9793363423971
2,Unknown,1,3049.8548074176474,2692.6325190718285
3,Paid,37,76442.09004836399,2096.011888993168
3,Overdue,3,8441.36083721426,2155.230468325562
3,Unknown,3,8315.086180569873,2320.1238923241403
4,Paid,25,75482.34798901751,2273.888597545825
4,Pending,1,1951.7803109165702,1643.6380191065534
4,Overdue,4,10461.224467172337,2737.141300340147
4,Unknown,2,5830.957626627063,2526.1025191467374
6,Paid,34,96798.51773100228,3117.107842341447
6,Pending,2,6323.821160842897,2648.581940283322
6,Overdue,2,4687.207264650321,3165.313858052622
6,Unknown,1,2002.7438319403172,3026.7308449363854
7,Paid,35,89247.24631722544,2590.562660812371
7,Pending,2,6145.805009761566,1565.8022579746048
7,Unknown,1,2410.362939928623,2319.8932928573618
8,Paid,26,80787.94384832277,2395.7430989428162
8,Pending,1,2718.621972221608,2668.3453680482844
8,Overdue,1,2228.1849493297946,2642.9789987239574
9,Paid,36,73356.2376826372,2481.8422149943667
9,Pending,5,14377.64666956078,2120.1124167465273
9,Overdue,4,11884.231153175035,2024.2753989127518
9,Unknown,1,2070.8210195656584,2274.663979824103
11,Paid,31,85220.92631143509,2174.8861545488494
11,Pending,4,10908.848093532884,3231.914490536743
11,Unknown,1,2607.5659783141305,1989.567420327165
13,Paid,30,45416.8329802531,2867.854462085625
13,Unknown,1,3237.368915126293,3028.9444997458168
22,Paid,47,109849.52294027108,2756.4646958034764
22,Pending,2,5456.233031632625,2361.1555881159907
22,Overdue,4,9881.927303356093,2648.0207307480205
22,Unknown,1,2431.3030584107823,2876.6789821012467
27,Paid,34,77265.7532032484,2676.236919215303
27,Pending,4,7661.600681635111,3136.3459378078783
27,Overdue,1,2030.0934430941143,2918.9389572401474
27,Unknown,3,6518.02426792553,1910.531228339676
40,Paid,35,79535.23096351797,2602.1103339385345
40,Pending,1,2516.708752701561,3140.190110270492
40,Unknown,2,4715.3631512544,3423.0750927213076
57,Paid,34,80439.38188695857,2756.207258843452
