ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
54438,2023-08-07 00:00:00.000,2023-08-09,2023-08-09,2.0,2.0,0.0,1,7792.0,0.0,577,0.0,Small,Low,Summer,8,2023,1,5088,5038,2
54444,2023-08-07 00:00:00.000,2023-08-09,2023-08-09,2.0,2.0,0.0,1,2604.0,0.0,9,0.0,Small,Low,Summer,8,2023,1,5088,5038,2
54445,2023-08-07 00:00:00.000,2023-08-09,2023-08-09,2.0,2.0,0.0,1,69.0,0.0,1,0.0,Small,Low,Summer,8,2023,1,5088,5038,2
54446,2023-08-07 00:00:00.000,2023-08-09,2023-08-09,2.0,2.0,0.0,1,5390.0,0.0,22,0.0,Small,Low,Summer,8,2023,1,5088,5038,2
54600,2023-08-10 00:00:00.000,2023-08-12,2023-08-12,2.0,2.0,0.0,1,100.0,5.0,10,0.0,Small,Low,Summer,8,2023,1,5088,5038,2
54658,2023-08-12 00:00:00.000,2023-08-13,,1.0,,,0,208.0,0.92,21,0.0,Small,Low,Summer,8,2023,1,5038,5088,1
55905,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,1,5088,5038,1
55907,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,1,5088,5038,1
55908,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,1,5088,5038,1
55909,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,1,5088,5038,1
55910,2024-06-04 00:00:00.000,2024-06-12,,8.0,,,0,20.0,6.0,1,0.0,Small,Low,Summer,6,2024,1,5088,5038,1
