InvoiceDate,TotalRevenue,TotalProfit
2013-07-05,141.60000000000002,141.60000000000002
2013-07-10,5178.222,5178.222
2013-08-16,134.39999999999998,134.39999999999998
2013-09-11,194.13,194.13
2013-09-12,2073.744,2073.744
2013-10-07,4548.2429999999995,4548.2429999999995
2013-10-21,58598.277,58598.277
2013-11-07,566.4000000000001,566.4000000000001
2013-11-13,75.53999999999999,75.53999999999999
2013-12-11,2031.0749999999998,2031.0749999999998
2013-12-20,18763.335,18763.335
2013-12-23,78000.0,78000.0
2014-01-03,0.0,0.0
2014-01-30,335719.314,335719.314
2014-02-04,0.0,0.0
2014-05-20,0.0,0.0
2014-07-04,59101.200000000004,59101.200000000004
2014-08-13,0.0,0.0
2014-10-03,1689.816,1689.816
2015-01-20,735.0,735.0
2015-04-22,0.0,0.0
2015-04-27,76198.065,76198.065
2015-04-29,30225.72,30225.72
2015-05-15,226.58,226.58
2015-05-25,525.03,525.03
2015-11-06,0.0,0.0
2015-12-23,336.0,336.0
2016-01-17,0.0,0.0
2016-01-21,0.0,0.0
2016-02-02,0.0,0.0
2016-02-25,0.0,0.0
2016-04-12,15226.5,15226.5
2016-11-28,451.34999999999997,451.34999999999997
2016-12-22,855.0,855.0
2017-06-07,3976.5,3976.5
2017-09-16,280249.14,280249.14
2017-09-20,1200.0,1200.0
2018-01-11,4870.5,4870.5
2018-01-12,323.25,323.25
2018-01-15,2523.0,2523.0
2018-01-16,11524.746,11524.746
2018-01-17,1439.7,1439.7
2018-01-18,3039.84,3039.84
2018-01-19,323.25,323.25
2018-01-22,786.3000000000001,786.3000000000001
2018-01-23,5803.482,5803.482
2018-01-29,525.0,525.0
2018-01-30,274.79999999999995,274.79999999999995
2018-01-31,194.39999999999998,194.39999999999998
2018-02-06,510.0,510.0
2018-02-07,180.0,180.0
2018-02-09,561.0,561.0
2018-02-13,1818.8999999999999,1818.8999999999999
2018-02-15,4621.86,4621.86
2018-02-16,495.0,495.0
2018-02-19,301.79999999999995,301.79999999999995
2018-02-22,586.05,586.0500000000001
2018-03-01,495.0,495.0
2018-03-05,4172.5289999999995,4172.529
2018-03-06,1269.6,1269.6
2018-03-08,2763.3,2763.2999999999997
2018-03-09,1736.6100000000001,1736.6100000000001
2018-03-14,9592.41,9592.41
2018-03-16,1966.884,1966.884
2018-03-22,2162.55,2162.5499999999997
2018-03-23,1111.884,1111.884
2018-03-24,4573.9169999999995,4573.9169999999995
2018-03-26,7739.142,7739.142
2018-03-28,495.0,495.0
2018-03-30,92.85,92.85
2018-04-02,61801.371,61801.37099999999
2018-04-03,3684.6359999999995,3684.6359999999995
