ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2018-09-21,1,1.0,2018-09-21,1672.1999999999998,0.013646986353854362
2018-10-04,2,1.3333333333333333,2018-10-04,33407.763,0.013646986353854362
2018-10-08,1,1.1666666666666667,2018-10-08,675.0,0.013646986353854362
2018-10-29,1,1.125,2018-10-29,4723.545,0.013646986353854362
2018-11-19,1,1.1818181818181819,2018-11-19,574.584,0.013646986353854362
2018-11-22,1,1.1666666666666667,2018-11-22,63738.723000000005,0.013646986353854362
2018-11-27,1,1.1428571428571428,2018-11-27,3162.66,0.013646986353854362
2018-12-06,1,1.1333333333333333,2018-12-06,690.0,0.013646986353854362
2018-12-13,3,1.2105263157894737,2018-12-13,6561.0,0.013646986353854362
2018-12-14,1,1.2,2018-12-14,131.25,0.013646986353854362
2018-12-17,2,1.2173913043478262,2018-12-17,1947.06,0.013646986353854362
2018-12-22,1,1.4444444444444444,2018-12-22,47395.89,0.013646986353854362
2018-12-31,9,1.8,2018-12-31,90000.0,0.013646986353854362
2019-01-03,2,1.894736842105263,2019-01-03,16985.094,0.013646986353854362
2019-01-04,2,1.8974358974358974,2019-01-04,4524.075,0.013646986353854362
2019-01-08,2,2.6511627906976742,2019-01-08,13261.076999999997,0.013646986353854362
2019-01-09,17,2.977272727272727,2019-01-09,1153.1999999999998,0.013646986353854362
2019-01-11,3,3.130434782608696,2019-01-11,516.1500000000001,0.013646986353854362
2019-01-12,25,3.595744680851064,2019-01-12,644.4000000000001,0.013646986353854362
2019-01-15,3,3.82,2019-01-15,11966.634,0.013646986353854362
2019-01-17,9,4.326923076923077,2019-01-17,2100.0,0.013646986353854362
2019-01-18,9,4.415094339622642,2019-01-18,2683.5,0.013646986353854362
2019-01-22,15,5.333333333333333,2019-01-22,227010.027,0.013646986353854362
2019-01-23,16,5.517241379310345,2019-01-23,216.783,0.013646986353854362
2019-01-24,17,5.711864406779661,2019-01-24,495.0,0.013646986353854362
2019-01-28,13,6.492063492063492,2019-01-28,2889.93,0.013646986353854362
2019-01-30,5,6.461538461538462,2019-01-30,137356.13999999998,0.013646986353854362
